Player,DPI,Game Sensitivity,EDPI
dimasick,400,2.2,880.0000000000001
mir,400,1.55,620.0
n0thing,400,1.7,680.0
Furlan,400,1.5,600.0
Nifty,400,2.2,880.0000000000001
znajder,400,3,1200.0
phr,400,1.7,680.0
to1nou,400,2,800.0
gade,400,2.2,880.0000000000001
paz,400,2,800.0
TACO,400,1.6,640.0
seang@res,400,1.9,760.0
Golden,400,2,800.0
Subroza,400,1.55,620.0
MODDII,400,2.2,880.0000000000001
cadiaN,400,2.6,1040.0
olofmeister,400,1.7,680.0
Edward,400,1.9,760.0
Snax,400,2.4,960.0
shroud,400,2.5,1000.0
LOGAN,400,1.7,680.0
sycrone,400,1.8,720.0
JW,400,2.4,960.0
byali,800,0.88,704.0
ANGE1,400,1.7,680.0
bodyy,400,2.4,960.0
RUSH,400,2.2,880.0000000000001
STYKO,400,1.8,720.0
friberg,800,1.1,880.0000000000001
Kvik,400,2.2,880.0000000000001
bondik,1800,2.5,4500.0
MAJ3R,400,2.2,880.0000000000001
Lekr0,800,1,800.0
AdreN,400,2.22,888.0000000000001
steel,400,2,800.0
Hiko,800,2.05,1639.9999999999998
wayLander,800,0.62,496.0
pyth,450,2.3,1035.0
krizzen,400,1.7,680.0
LOVEYY,400,2.1,840.0
Ex6TenZ,400,2.2,880.0000000000001
tiziaN,400,2.35,940.0
kioShiMa,400,2.2,880.0000000000001
advent,1000,1.95,1950.0
BARBARR,400,2.15,860.0
GeT_RiGhT,400,2.9,1160.0
RUBINO,400,2.25,900.0
arya,400,2.1,840.0
Drone,1200,0.6,720.0
AnJ,800,0.8,640.0
AcilioN,400,2.2,880.0000000000001
LUCAS1,400,2.5,1000.0
hutji,400,2,800.0
Horvy,400,3,1200.0
TaZ,500,1.63,815.0
Dosia,400,2.5,1000.0
crisby,400,1.9,760.0
Skadoodle,800,1.4,1120.0
TOAO,400,2.2,880.0000000000001
captainMo,450,1.6,720.0
Xizt,400,3,1200.0
sAw,800,1.95,1560.0
NEO,400,2.15,860.0
Balblna,400,3,1200.0
LEGIJA,800,1,800.0
HUNDEN,400,1.3,520.0
pashaBiceps,400,1.72,688.0
daps,400,1.7,680.0
Zeus,1600,1.75,2800.0
gob b,800,1,800.0
crush,50,1.8,90.0
kzy,400,2.35,940.0
DeadFox,400,2.5,1000.0
karrigan,800,1,800.0
FNS,400,1.75,700.0
def,400,2.6,1040.0
kRYSTAL,1000,1.6,1600.0
SIXER,400,2.3,919.9999999999999
ngiN,400,2.5,1000.0
jmqa,800,1.4,1120.0
SmithZz,400,2.5,1000.0
xms,800,1.42,1136.0
pronax,400,2,800.0
Slemmy,400,2.65,1060.0
SEMPHIS,400,2.15,860.0
waterfaLLZ,(no value),(no value),not calculable
Keshandr,1600,0.4,640.0
mistou,400,1.6,640.0
markeloff,400,2,800.0
ceh9,1600,1.9,3040.0
B1ad3,400,2.3,919.9999999999999
Twista,500,3.66,1830.0
fnx,400,1.77,708.0
DaZeD,400,2,800.0
kalle,400,2.35,940.0
summit,400,1.5,600.0
ryx,1600,1,1600.0
Maniac,400,2.5,1000.0
jasonR,800,0.86,688.0
MonttY,800,1.2,960.0
yam,400,1.67,668.0
Friis,400,2.5,1000.0
roca,1800,0.6,1080.0
Zero,400,2.1,840.0
SAGGERTON,1600,0.5,800.0
keev,400,2.9,1160.0
Average EDPI -->,926.0277777777778
